TF,target,importance
ATF1,ARID3C,1
ATF1,TOMM5,1
ATF1,ZCCHC7,1
ATF1,ZNG1F,1
ATF1,ZNG1E,1
ATF1,ZNG1C,1
ATF1,IDNK,1
ATF1,ZNF169,1
ATF1,PRXL2C,1
ATF1,XPA,1
ATF1,ZFP37,1
ATF1,CDC26,1
ATF1,HMGA1P4,1
ATF1,SET,1
ATF1,QSOX2,1
ATF1,LINC01451,1
ATF1,LCN8,1
ATF1,STPG3-AS1,1
ATF1,XG,1
ATF1,PNPLA4,1
ATF1,TCEANC,1
ATF1,TRAPPC2,1
ATF1,S100G,1
ATF1,EIF2S3,1
ATF1,DYNLT3,1
ATF1,INE1,1
ATF1,ZNF41,1
ATF1,ZNF182,1
ATF1,ZNF630-AS1,1
ATF1,PORCN-DT,1
ATF1,HDX,1
ATF1,RNF113A,1
ATF1,NDUFA1,1
ATF1,INTS6L,1
ATF1,ATP6AP1-DT,1
ATF1,RER1,1
ATF1,TP73,1
ATF1,TP73-AS3,1
ATF1,LINC01134,1
ATF1,ICMT-DT,1
ATF1,RERE-AS1,1
ATF1,NPPA,1
ATF1,DNAJC16,1
ATF1,ALPL,1
ATF1,ELOA-AS1,1
ATF1,HMGCL,1
ATF1,IFNLR1,1
ATF1,NIPAL3,1
ATF1,CLIC4,1
ATF1,SYF2,1
ATF1,RSRP1,1
ATF1,NR0B2,1
ATF1,ZCCHC17,1
ATF1,FABP3,1
ATF1,LAPTM5,1
ATF1,HDAC1,1
ATF1,ZBTB8OS,1
ATF1,TMEM35B,1
ATF1,TRAPPC3,1
ATF1,THRAP3,1
ATF1,LSM10,1
ATF1,MEAF6,1
ATF1,MANEAL,1
ATF1,INPP5B,1
ATF1,POU3F1,1
ATF1,LINC02811,1
ATF1,SLC2A1-DT,1
ATF1,CFAP57,1
ATF1,PPCS,1
ATF1,ELOVL1,1
ATF1,ZNF691,1
ATF1,CCDC163,1
ATF1,TXNDC12,1
ATF1,TUT4,1
ATF1,ZYG11A,1
ATF1,TTC22,1
ATF1,TMEM59,1
ATF1,PATJ,1
ATF1,ATG4C,1
ATF1,EFCAB7,1
ATF1,DLEU2L,1
ATF1,C1orf146,1
ATF1,BCAR3-AS1,1
ATF1,CNN3,1
ATF1,ALG14-AS1,1
ATF1,RWDD3-DT,1
ATF1,RWDD3,1
ATF1,TRMT13,1
ATF1,DBT,1
ATF1,AGL,1
ATF1,DPH5-DT,1
ATF1,LAMTOR5,1
ATF1,CD53,1
ATF1,CEPT1,1
ATF1,DRAM2,1
ATF1,DENND2D,1
ATF1,CHI3L2,1
ATF1,WNT2B,1
ATF1,CAPZA1,1
ATF1,SLC16A1-AS1,1
ATF1,LRIG2,1
ATF1,BCAS2,1
ATF1,TENT5C-DT,1
ATF1,SEC22B,1
ATF1,NBPF15,1
ATF1,ITGA10,1
ATF1,POLR3GL,1
ATF1,FMO5,1
ATF1,LINC00624,1
ATF1,NBPF11,1
ATF1,LINC01138,1
ATF1,VPS45,1
ATF1,LINC02988,1
ATF1,ANP32E,1
ATF1,C1orf54,1
ATF1,MRPS21,1
